Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
Antipathy,6700k,100,47,4.7,4.1,1.334,1.328,1,D15,x264 16T 6.5hr (x50),Malay L548B846,3200 16-16-16-36 @ 1.35v,Asus z170 Deluxe,LLC Level 5,Yes,,
selbyftw,6700k,100,47,4.7,4.1,1.38,1.344,1,"H100i GTX, Delid","x264 16T x123 (24hr), Realbench 8hr",L538B759,XMP 2666 16-18-18-35 @ 1.2v,MSI z170 M7,"LLC Mode 1, SI binned 4.8ghz @ 1.424v, Bios v1.93",Yes,,
CannedBullets,6700k,100,47,4.7,4.1,1.36,1.344,1,H115i,x264 16T 12hr ,Malay L547B597,3000 15-16-16-35 @ 1.35v,Asus z170 Sabertooth,"LLC Level 5, SI binned 4.7 ghz",Yes,,
topet2k12002,6700k,100,47,4.7,4.1,1.344 + 0.02,1.345,,Custom Loop,Realbench 4hr (4gb used),X618D002,2666 17-17-17-35 @ 1.2v,Asus z160 Sabertooth Mk I,LLC Level 5,Yes,0.905,1.05
Falakes,6700k,100,47,4.7,4.1,1.34,1.363,1,H110i GTX,"P95 v28.7 8k 1hr, x264 16T 10hr (x50)",L527B204,3000 14-15-15-35 @ 1.36v,Asus z170 Ranger,LLC Level 5,Yes,1.115,1.2
Baenwort,6700k,100,47,4.7,4.1,1.4,1.398,1,Custom Loop Delid,"P95 v28.9 Small 14hr, OCCT 1hr, x264 16T 12hr",L537B115,3000 15-15-15-39 @ 1.36v,z170 Gigabyte UD5,LLC High,Yes,,1.2
Ex0duS5150,6700k,100,47,4.7,4.1,1.398,1.408,0.8,D14 Delid,x264 9.5hr (x77),Vietnam X551C435,3200 17-18-18-38-2T @ 1.36v,Asus z170 Pro Gaming,"LLC Level 5, 140% Current Capability, Extreme Power Duty, Extreme Phase Control",Yes,,
k4sh,6700k,100,47,4.7,4.1,1.4,1.408,1,"Custom Loop (x1 240mm, x1 360mm) + Delid",x264 16T 8hr (x63),Malay L520C023,XMP 2800 15-15-15-35 @ 1.25v,Asus z170 Pro Gaming,"LLC Level 4, estimates 4.7 would take 1.442v",Yes,1.14,1.19
markm75,6700k,100,47,4.7,4.1,1.4 - 0.008,1.434,1,"Thermaltake 3.0 Ultimate Riing 360mm, Delid",P95 27.9 Blend 24hr,X623C611,3200 @1.41v,Asus z170 A,"LLC Level 6, 87C in Prime but claims 68C outside of stressing",Yes,,
Z0eff,6700k,100,47,4.7,4.1,1.44,1.46,1,Noctua D14,x264 16T 10hr,Malay L520B631,XMP 3200 15-17-17-35 @ 1.35v,Asus z170 Pro Gaming,LLC Level 5,,,
Duality92,6600k,100,47,4.7,4,1.5,1.488,0.8,"Custom Loop, 2x280mm, Delid",OCCT 1hr,X543B836,XMP 3200 C16 @ 1.35v,Gigabyte z170 Gaming 5,LLC High,Yes,,
Balkeep,6600k,100,47,4.7,3.9,1.43,1.424,1,D14 Delid Reseal,x264 16T 7hr (x45),Ukraine X544B730,2400 14-16-16-32 @ 1.2v,Asus z170 A,LLC Level 3,Yes,,
Nenkitsune,6600k,100,47,4.7,3.5,1.355,1.344,0.8,TD02-Lite,x264 16T 5hr,L548B508,2666 17-17-17-39 @ 1.32v,Gigabyte z170 XP SLI,LLC High,Yes,,
Saiyamoto,6600k,136.75,34,4.65,4.51,1.44,1.44,1.093,Custom Loop,x264 16T 8hr (x52),Malay L524B406,3100 15-17-17-35 @ 1.35v,Asus z170 A,LLC Level 6,Yes,1.15,1.15
Zaen,6600k,101,46,4.646,4.646,1.465 + 0.01,1.488,1.01,H100i GTX,"OCCT 4.4.1 1.1hr, x264 16T 4.5hr (x41), HCI Memtest",Malay L519B886,3000 15-16-16-35 @ 1.352v,Asus z170 Pro Gaming,"LLC Level 5, Phase Control Extreme, CPU Current 140%, Uses iGPU instead of discrete GPU",Yes,,
qqqq,6400,171,27,4.616,4.616,1.35,1.332,0.8,D14,P95 v28.7 S 1hr,Malay L524B509,3200 16-16-16-36 @ 1.35v,Gigabyte z170 D3H,LLC High,,,
DeathAngel47,6700k,100.02,46,4.6011,4.4011,1.35 + 0.02,1.368,1,H100i v2 PP,"P95 v28.7 Small FFTs 1hr, P95 v26.6 Small FFTs, Large FFTs 1hr, Realbench 1hr",Vietnam X548C056,XMP 3200 16-18-18-36-2T @ 1.35v,Asus z170 Hero,LLC Level 6,Yes,1.224,1.216
Incog,6600k,100,46,4.6,4.6,Offset +0.01,1.318,0.8,Scythe Katana 4 PP,P95 v27.9 8k 4hr,Malay L519C025,2400 16-16-16-39 @ 1.2v,Gigabyte z170 M-D3H,,Yes,,
FiShBuRn,6700k,100,46,4.6,4.6,1.36,1.344,1,"Custom Loop, 240mm",x264 16T 9hr (x72),,3200 15-16-16-35 @ 1.35v,Asus z170 Gene,LLC Level 4,Yes,1.35,1.35
Nevetas,6700k,100,46,4.6,4.6,1.37 +0.001 offset,1.376,1,H100i GTX,"x264 16T x100, Realbench 16hr, P95 v28.7 8k 5hr",,XMP 3000 15-17-17-35 @ 1.35v,Asus z170 Extreme,,Yes,,
The REAL 7,6700k,100,46,4.6,4.6,1.35,1.384,,Custom Loop Delid,Realbench 8hr,L526B258,XMP 3200 16-18-18-36 @ 1.35v,Asus z170 Hero,LLC Level 5,Yes,1.2,1.25
